֭	֖
𝟨	6
𝟲	6
𝟼	6
Ⳓ	6
б	6
Ꮾ	6
۶	٦
⑥	➅
⒍	6
𝟕	7
𝟟	7
𝟩	7
𝟳	7
𝟽	7
𐓒	7
⑦	➆
⒎	7
ଃ	8
৪	8
੪	8
𝟖	8
𝟠	8
𝟪	8
𝟴	8
𝟾	8
ȣ	8
Ȣ	8
𐌚	8
૮	८
⑧	➇
⒏	8
੧	9
୨	9
৭	9
൭	9
𝟗	9
𝟡	9
𝟫	9
𝟵	9
𝟿	9
Ꝯ	9
Ⳋ	9
१	٩
۹	٩
೯	౯
⑨	➈
⒐	9
⍺	a
ａ	a
𝐚	a
𝑎	a
𝒂	a
𝒶	a
𝓪	a
𝔞	a
𝕒	a
𝖆	a
𝖺	a
𝗮	a
𝘢	a
𝙖	a
𝚊	a
ɑ	a
α	a
𝛂	a
𝛼	a
𝜶	a
𝝰	a
𝞪	a
а	a
ⷶ	ͣ
Ａ	A
𝐀	A
𝐴	A
𝑨	A
𝒜	A
𝓐	A
𝔄	A
𝔸	A
𝕬	A
𝖠	A
𝗔	A
𝘈	A
𝘼	A
𝙰	A
Α	A
𝚨	A
𝛢	A
𝜜	A
𝝖	A
𝞐	A
А	A
Ꭺ	A
ᗅ	A
ꓮ	A
𐊠	A
ǎ	ă
Ǎ	Ă
ȧ	å
Ȧ	Å
ẚ	ả
ꭺ	ᴀ
∀	Ɐ
ᗄ	Ɐ
ꓯ	Ɐ
𐐟	Ɒ
𝐛	b
𝑏	b
𝒃	b
𝒷	b
𝓫	b
𝔟	b
𝕓	b
𝖇	b
𝖻	b
𝗯	b
𝘣	b
𝙗	b
𝚋	b
Ƅ	b
Ь	b
Ꮟ	b
ᑲ	b
ᖯ	b
Ｂ	B
ℬ	B
𝐁	B
𝐵	B
𝑩	B
𝓑	B
𝔅	B
𝔹	B
𝕭	B
𝖡	B
𝗕	B
𝘉	B
𝘽	B
𝙱	B
Ꞵ	B
Β	B
𝚩	B
𝛣	B
𝜝	B
