#	井
🐚	螺
🐛	虫
🐜	蚁
🐝	蜂
🐞	瓢
🐟	鱼
🐠	鱼
🐢	龟
🐣	孵
🐤	雏
🐦	鸟
🐧	鹅
🐨	考
🐪	驼
🐫	驼
🐬	豚
🐭	鼠
🐮	牛
🐯	虎
🐰	兔
🐱	猫
🐲	龙
🐳	鲸
🐴	马
🐵	猴
🐶	狗
🐷	猪
🐸	蛙
🐹	鼠
🐺	狼
🐻	熊
🐼	熊
🐽	鼻
🐾	爪
🐿	松
👀	眼
👁	眼
👂	耳
👃	鼻
👄	唇
👅	舌
👆	上
👇	下
👈	左
👉	右
👊	拳
👋	挥
👌	好
👍	棒
👎	踩
👏	啪
👐	开
👑	冠
👒	帽
👓	镜
👔	领
👕	恤
👖	裤
👗	裙
👘	和
👙	泳
👚	衣
👛	包
👜	包
👝	包
👞	鞋
👟	鞋
👠	鞋
👡	鞋
👢	靴
👣	足
👤	人
👥	双
👦	男
👧	女
👨	男
🦰	红
🦱	卷
🦳	爷
👩	女
👪	家
👫	拉
👬	拉
👭	拉
👮	警
👯	舞
👰	娘
👱	金
👲	宦
👳	巾
👴	爷
👵	奶
👶	婴
👷	建
👸	妃
👹	魔
👺	妖
👻	鬼
👼	宝
👽	外
👾	外
👿	怒
💀	骨
💁	接
💂	侍
💃	舞
💄	唇
💅	甲
💆	美
💇	剪
💈	剪
💉	针
💊	药
💋	吻
💌	情
💍	戒
💎	钻
💏	亲
💐	花
💑	侣
💒	婚
💓	爱
💔	碎
💕	心
💖	心
💗	心
💘	恋
💙	蓝
💚	绿
💛	黄
💜	紫
💝	礼
💞	心
💟	心
💠	钻
💡	灯
💢	怒
💣	炸
💤	困
💥	爆
💦	汗
💧	水
💨	气
💩	屎
💪	强
💫	晕
💬	聊
💭	想
💮	花
💯	百
💰	钱
💱	兑
💲	钱
💳	卡
💴	钱
💵	钱
💶	钱
💷	镑
💸	钱
💹	股
💺	座
💻	本
💼	包
💽	碟
💾	储
💿	碟
📀	碟
📁	文
📂	文
📃	档
📄	纸
📅	历
📆	历
📇	卡
📈	涨
📉	降
📊	图
📋	贴
📌	钉
📍	钉
📎	回
📏	尺
📐	尺
📑	签
📒	本
📓	本
📔	本
📕	书
📖	书
📗	书
📘	书
📙	书
📚	书
📛	牌
📜	卷
📝	签
📞	电
📟	呼
📠	传
📡	雷
📢	喇
📣	喇
📤	发
📥	收
📦	箱
📧	邮
📨	收
📩	发
📪	信
📫	信
📬	信
📭	信
📮	邮
📯	号
📰	报
📱	机
📲	呼
📳	震
📴	关
📵	禁
📶	信
📷	照
📸	照
📹	录
📺	视
📻	播
📼	录
📽	影
📿	链
🔀	随
🔁	循
🔂	循
🔃	顺
🔄	逆
🔅	亮
🔆	亮
🔇	静
🔈	音
🔉	音
🔊	音
🔋	电
🔌	插
🔍	搜
🔎	搜
🔏	锁
🔐	锁
🔑	钥
🔒	锁
🔓	锁
🔔	铃
🔕	静
🔖	签
🔗	链
🔘	单
🔙	返
🔚	完
🔛	启
🔜	快
🔝	顶
🔞	禁
🔟	十
🔥	火
🔦	电
🔧	扳
🔨	锤
🔩	螺
🔪	刀
🔫	枪
🔬	显
🔭	望
🔮	晶
🔯	六
🔰	新
🔱	戟
🔲	方
🔳	方
🔴	红
🔵	蓝
🔶	橙
🔷	蓝
🔸	橙
🔹	蓝
🔺	上
🔻	下
🔼	上
🔽	下
🕉	印
🕊	鸟
🕋	克
🕌	寺
🕍	堂
🕎	烛
🕐	1
🕑	2
🕒	3
🕓	4
🕔	5
🕕	6
🕖	7
🕗	8
🕘	9
🕙	十
🕯	烛
🕰	钟
🕳	洞
🕴	人
🕵	侦
🕶	镜
🕷	蛛
🕸	网
🕹	杆
🕺	舞
🖇	回
🖊	笔
🖋	笔
🖌	笔
🖍	笔
🖐	手
🖕	中
🖖	礼
🖤	心
🖥	屏
🖨	印
🖱	鼠
🖲	轨
🖼	画
🗂	档
🗃	档
🗄	柜
🗑	篓
🗒	本
🗓	历
🗜	钳
🗝	钥
🗞	报
🗡	剑
🗣	说
🗨	话
🗯	怒
🗳	票
🗺	图
🗻	山
🗼	塔
🗽	像
🗾	日
🗿	像
😀	笑
😁	笑
😂	哭
😃	笑
😄	笑
😅	苦
😆	笑
😇	笑
😈	魔
😉	眨
😊	笑
😋	舔
😌	松
😍	色
😎	酷
😏	讥
😐	冷
😑	无
😒	鄙
😓	汗
😔	丧
😕	哼
😖	惑
😗	吻
😘	吻
😙	亲
😚	亲
😛	吐
😜	皮
😝	萌
😞	难
😟	愁
😠	怒
😡	怒
😢	哭
😣	疼
😤	气
😥	衰
😦	呆
😧	惊
😨	吓
😩	累
😪	困
😫	累
😬	龇
😭	哭
😮	惊
😯	默
😰	汗
😱	吓
😲	惊
😳	羞
😴	困
😵	晕
😶	默
😷	病
😸	笑
😹	哭
😺	笑
😻	痴
😼	讽
😽	亲
😾	气
😿	哭
🙀	惊
🙁	哀
🙂	笑
🙃	倒
🙄	白
🙅	不
🙆	可
🙇	鞠
🙈	蒙
🙉	聋
🙊	捂
🙋	举
🙌	击
🙍	皱
🙎	撅
🙏	谢
🚀	箭
🚁	升
🚂	蒸
🚃	轨
🚄	高
🚅	高
🚆	火
🚇	地
🚈	车
🚉	铁
🚊	轨
🚋	轨
🚌	车
🚍	车
🚎	车
🚏	站
🚐	巴
🚑	救
🚒	车
🚓	警
🚔	警
🚕	车
🚖	车
🚗	车
🚘	车
🚙	车
🚚	车
🚛	车
🚜	拖
🚝	车
🚞	铁
🚟	悬
🚠	缆
🚡	缆
🚢	船
🚣	艇
🚤	艇
🚥	灯
🚦	灯
🚧	栏
🚨	灯
🚩	旗
🚪	门
🚫	禁
🚬	烟
🚭	禁
🚮	垃
🚯	垃
🚰	饮
🚱	污
🚲	车
🚳	禁
🚴	骑
🚵	登
🚶	走
🚷	禁
🚸	校
🚹	厕
🚺	厕
🚻	厕
🚼	婴
🚽	厕
🚾	厕
🚿	淋
🛀	浴
🛁	缸
🛂	检
🛃	检
🛄	取
🛅	寄
🛋	沙
🛌	床
🛍	袋
🛎	铃
🛏	床
🛐	拜
🛑	停
🛒	购
🛕	庙
🛖	屋
🛗	梯
🛡	盾
🛢	桶
🛣	路
🛤	轨
🛥	艇
🛩	飞
🛫	飞
🛬	飞
🛰	卫
🛳	船
🛴	滑
🛵	摩
🛶	船
🛷	橇
