薈	荟
誨	诲
檜	桧
燴	烩
賄	贿
穢	秽
繢	缋
毀	毁
葷	荤
閽	阍
渾	浑
餛	馄
諢	诨
鍃	锪
鈥	钬
貨	货
獲	获
禍	祸
鑊	镬
譏	讥
擊	击
嘰	叽
飢	饥
饑	饥
機	机
璣	玑
磯	矶
雞	鸡
鷄	鸡
跡	迹
積	积
勣	绩
績	绩
緝	缉
賫	赍
齎	赍
躋	跻
齏	齑
羈	羁
級	级
極	极
輯	辑
幾	几
蟣	虮
擠	挤
計	计
記	记
紀	纪
際	际
劑	剂
嚌	哜
濟	济
繼	继
覬	觊
薊	蓟
霽	霁
鱭	鲚
鯽	鲫
驥	骥
夾	夹
浹	浃
鎵	镓
郟	郏
莢	荚
鋏	铗
蛺	蛱
頰	颊
賈	贾
鉀	钾
價	价
駕	驾
戔	戋
姦	奸
堅	坚
殲	歼
間	间
艱	艰
監	监
箋	笺
緘	缄
縑	缣
鰹	鲣
鶼	鹣
韉	鞯
揀	拣
梘	枧
儉	俭
繭	茧
撿	捡
筧	笕
減	减
檢	检
瞼	睑
襇	裥
鐧	锏
簡	简
譾	谫
戩	戬
見	见
餞	饯
劍	剑
薦	荐
賤	贱
澗	涧
艦	舰
漸	渐
諫	谏
濺	溅
踐	践
鑒	鉴
鍵	键
檻	槛
薑	姜
將	将
漿	浆
繮	缰
韁	缰
講	讲
獎	奖
槳	桨
蔣	蒋
絳	绛
醬	酱
嬌	娇
澆	浇
驕	骄
膠	胶
鮫	鲛
鷦	鹪
僥	侥
撟	挢
絞	绞
餃	饺
矯	矫
腳	脚
鉸	铰
攪	搅
繳	缴
嶠	峤
轎	轿
較	较
階	阶
癤	疖
節	节
訐	讦
傑	杰
詰	诘
潔	洁
結	结
頡	颉
鮚	鲒
屆	届
誡	诫
僅	仅
緊	紧
謹	谨
錦	锦
饉	馑
盡	尽
勁	劲
進	进
藎	荩
晉	晋
燼	烬
贐	赆
縉	缙
覲	觐
涇	泾
經	经
莖	茎
荊	荆
驚	惊
鯨	鲸
剄	刭
頸	颈
淨	净
弳	弪
徑	径
逕	径
脛	胫
痙	痉
競	竞
靚	靓
靜	静
鏡	镜
埛	炯
糾	纠
鳩	鸠
鬮	阄
舊	旧
廄	厩
鷲	鹫
駒	驹
鋦	锔
舉	举
櫸	榉
齟	龃
詎	讵
鉅	钜
劇	剧
懼	惧
據	据
颶	飓
鋸	锯
窶	窭
屨	屦
鵑	鹃
鎸	镌
鐫	镌
錈	锩
絹	绢
雋	隽
決	决
訣	诀
絕	绝
覺	觉
譎	谲
鐝	镢
钁	镢
軍	军
鈞	钧
皸	皲
駿	骏
開	开
鐦	锎
凱	凯
剴	剀
塏	垲
愷	恺
鎧	铠
鍇	锴
愾	忾
龕	龛
闞	阚
閌	闶
鈧	钪
銬	铐
軻	轲
痾	疴
鈳	钶
頦	颏
顆	颗
殼	壳
課	课
騍	骒
緙	缂
錁	锞
墾	垦
懇	恳
鏗	铿
摳	抠
瞘	眍
釦	扣
庫	库
絝	绔
嚳	喾
褲	裤
誇	夸
塊	块
儈	侩
鄶	郐
噲	哙
獪	狯
膾	脍
寬	宽
髖	髋
誆	诓
誑	诳
鄺	邝
壙	圹
纊	纩
況	况
曠	旷
礦	矿
貺	贶
虧	亏
巋	岿
窺	窥
匱	匮
憒	愦
潰	溃
蕢	蒉
饋	馈
簣	篑
聵	聩
崐	昆
錕	锟
鯤	鲲
梱	捆
閫	阃
睏	困
擴	扩
闊	阔
臘	腊
蠟	蜡
來	来
崍	崃
徠	徕
淶	涞
萊	莱
錸	铼
賚	赉
睞	睐
賴	赖
顂	赖
瀨	濑
癩	癞
籟	籁
蘭	兰
嵐	岚
攔	拦
欄	栏
惏	婪
闌	阑
藍	蓝
讕	谰
瀾	澜
襤	褴
斕	斓
籃	篮
鑭	镧
覽	览
攬	揽
纜	缆
欖	榄
嬾	懒
懶	懒
爛	烂
濫	滥
鋃	锒
閬	阆
撈	捞
勞	劳
嘮	唠
嶗	崂
癆	痨
鐒	铹
銠	铑
澇	涝
耮	耢
樂	乐
鰳	鳓
縲	缧
鐳	镭
誄	诔
壘	垒
淚	泪
類	类
纍	累
釐	厘
貍	狸
離	离
驪	骊
犂	犁
鸝	鹂
灕	漓
縭	缡
蘺	蓠
鱺	鲡
籬	篱
禮	礼
裡	里
裏	里
邐	逦
鋰	锂
鯉	鲤
鱧	鳢
曆	历
歷	历
厲	厉
麗	丽
勵	励
嚦	呖
壢	坜
瀝	沥
藶	苈
櫪	枥
癘	疠
隸	隶
儷	俪
櫟	栎
鬁	疬
癧	疬
茘	荔
轢	轹
酈	郦
慄	栗
礪	砺
礫	砾
蒞	莅
糲	粝
蠣	蛎
躒	跞
靂	雳
倆	俩
匲	奁
奩	奁
連	连
簾	帘
憐	怜
漣	涟
