㊍	木
畆	亩
畮	亩
㈭	木
畂	亩
ㇹ	木
𤱈	亩
幙	幕
拏	拿
挐	拿
廼	乃
嬭	奶
迺	乃
柟	楠
枏	楠
㊚	男
閙	闹
嫰	嫩
暱	昵
蜺	霓
妳	你
唸	念
撚	捻
秊	年
秊	年
孃	娘
嫋	袅
嬝	袅
褭	袅
⻦	鸟
囓	啮
湼	涅
孼	孽
櫱	蘖
揑	捏
挵	弄
辳	农
煗	暖
㬉	暖
煖	暖
稬	糯
䶊	衄
衂	衄
㊛	女
槃	盘
鑤	刨
礮	炮
砲	炮
麅	狍
肧	胚
掽	碰
踫	碰
毘	毗
腁	胼
騗	骗
飃	飘
拚	拼
缾	瓶
屛	屏
凴	凭
帲	帡
輧	軿
缾	瓶
廹	迫
舖	铺
⺙	攵
旂	旗
棊	棋
㈽	企
朞	期
憇	憩
㊭	企
鏚	戚
碁	棋
悽	凄
慼	戚
唘	启
慽	戚
扡	扦
膁	肷
籤	签
諐	愆
韆	千
𦍑	羌
鎗	枪
艢	樯
繦	襁
彊	强
顦	憔
墝	硗
鍫	锹
陗	峭
礄	硚
郤	郄
㥦	惬
琹	琴
寑	寝
搇	揿
懃	勤
⾭	青
檾	苘
秌	秋
毬	球
坵	丘
鞦	秋
覰	觑
敺	驱
覻	觑
駈	驱
麯	曲
粬	曲
胊	朐
踡	蜷
搉	榷
㕁	却
裠	裙
帬	裙
羣	群
冄	冉
髥	髯
靭	韧
靱	韧
袵	衽
㉦	人
餁	饪
姙	妊
㆟	人
㊐	日
㈰	日
羢	绒
毧	绒
螎	融
宂	冗
輭	软
蘂	蕊
叡	睿
蕋	蕊
橤	蕊
篛	箬
䬃	飒
顋	腮
㆔	三
㪚	散
繖	伞
桒	桑
桒	桑
澁	涩
濇	涩
鱓	鳝
饍	膳
羶	膻
㊤	上
㆖	上
尙	尚
鞝	绱
坰	垧
䈰	筲
虵	蛇
㊓	社
慴	慑
䠶	射
㈳	社
㴱	深
昇	升
陞	升
賸	剩
⽰	示
㊜	適
蝨	虱
眎	视
眡	视
昰	是
旹	时
