༳	-1/2
𞅂	2
𞋲	2
𞓲	2
𞣈	2
𞥒	2
𞱲	2
𞲤	2
𞲲	2
𞴂	2
𞴯	2
🄃	2
🯲	2
𢎐	2
༬	5/2
³	3
٣	3
۳	3
߃	3
३	3
৩	3
੩	3
૩	3
୩	3
௩	3
౩	3
౻	3
౾	3
೩	3
൩	3
෩	3
๓	3
໓	3
༣	3
၃	3
႓	3
፫	3
៣	3
៳	3
᠓	3
᥉	3
᧓	3
᪃	3
᪓	3
᭓	3
᮳	3
᱃	3
᱓	3
₃	3
Ⅲ	3
ⅲ	3
③	3
⑶	3
⒊	3
⓷	3
❸	3
➂	3
➌	3
〣	3
㆔	3
㈢	3
㊂	3
三	3
仨	3
叁	3
参	3
參	3
叄	3
弎	3
꘣	3
ꛨ	3
꣓	3
꤃	3
꧓	3
꧳	3
꩓	3
꯳	3
參	3
３	3
𐄉	3
𐋣	3
𐒣	3
𐡚	3
𐡻	3
𐢩	3
𐤛	3
𐧂	3
𐩂	3
𐭚	3
𐭺	3
𐮫	3
𐴳	3
𐹢	3
𐼟	3
𐿇	3
𑁔	3
𑁩	3
𑃳	3
𑄹	3
𑇓	3
𑇣	3
𑋳	3
𑑓	3
𑓓	3
𑙓	3
𑛃	3
𑜳	3
𑣣	3
𑥓	3
𑱓	3
𑱜	3
𑵓	3
𑶣	3
𑽓	3
𒐁	3
𒐈	3
𒐗	3
𒐠	3
𒐤	3
𒐥	3
𒐮	3
𒐯	3
𒐶	3
𒐷	3
𒐺	3
𒐻	3
𒑋	3
𒑑	3
𒑗	3
𖩣	3
𖫃	3
𖭓	3
𖺃	3
𖺖	3
𝋃	3
𝋣	3
𝍢	3
𝍴	3
𝟑	3
𝟛	3
𝟥	3
𝟯	3
𝟹	3
𞅃	3
𞋳	3
𞓳	3
𞣉	3
𞥓	3
𞱳	3
𞲥	3
𞴃	3
𞴰	3
🄄	3
🯳	3
𠫽	3
𠬙	3
𢦘	3
𣬛	3
༭	7/2
٤	4
۴	4
߄	4
४	4
৪	4
੪	4
૪	4
୪	4
௪	4
౪	4
೪	4
൪	4
෪	4
๔	4
໔	4
༤	4
၄	4
႔	4
፬	4
៤	4
៴	4
᠔	4
᥊	4
᧔	4
᪄	4
᪔	4
᭔	4
᮴	4
᱄	4
᱔	4
⁴	4
₄	4
Ⅳ	4
ⅳ	4
④	4
⑷	4
⒋	4
⓸	4
❹	4
➃	4
➍	4
〤	4
㆕	4
㈣	4
㊃	4
亖	4
四	4
肆	4
꘤	4
ꛩ	4
꣔	4
꤄	4
꧔	4
꧴	4
꩔	4
꯴	4
４	4
𐄊	4
𐋤	4
𐒤	4
𐡼	4
𐢪	4
𐢫	4
𐧃	4
𐩃	4
𐭛	4
𐭻	4
𐮬	4
𐴴	4
𐹣	4
𐼠	4
𐿈	4
𑁕	4
𑁪	4
𑃴	4
𑄺	4
𑇔	4
𑇤	4
𑋴	4
𑑔	4
𑓔	4
𑙔	4
𑛄	4
𑜴	4
𑣤	4
𑥔	4
𑱔	4
𑱝	4
𑵔	4
𑶤	4
𑽔	4
𒐂	4
𒐉	4
𒐏	4
𒐘	4
𒐡	4
𒐦	4
𒐰	4
𒐸	4
𒐼	4
𒐽	4
𒐾	4
𒐿	4
𒑌	4
𒑒	4
𒑓	4
𒑩	4
𖩤	4
𖫄	4
𖭔	4
𖺄	4
𝋄	4
𝋤	4
𝍣	4
𝍵	4
𝟒	4
𝟜	4
𝟦	4
𝟰	4
𝟺	4
𞅄	4
𞋴	4
𞓴	4
𞣊	4
𞥔	4
𞱴	4
𞲦	4
𞴄	4
𞴱	4
🄅	4
🯴	4
𠁤	4
𠃢	4
𦉭	4
༮	9/2
٥	5
۵	5
߅	5
५	5
৫	5
੫	5
૫	5
୫	5
௫	5
౫	5
೫	5
൫	5
෫	5
๕	5
໕	5
༥	5
၅	5
႕	5
፭	5
៥	5
៵	5
᠕	5
᥋	5
᧕	5
᪅	5
᪕	5
᭕	5
᮵	5
᱅	5
᱕	5
⁵	5
₅	5
Ⅴ	5
ⅴ	5
⑤	5
⑸	5
⒌	5
⓹	5
❺	5
➄	5
➎	5
〥	5
㈤	5
㊄	5
㐅	5
㠪	5
五	5
伍	5
꘥	5
ꛪ	5
꣕	5
꤅	5
꧕	5
꧵	5
꩕	5
꯵	5
５	5
𐄋	5
𐅃	5
𐅈	5
𐅏	5
